"행정구역(동읍면)별","5세별","항목","단위","2019 년",
"부암동","95 - 99세","총인구수","명","22",
"부암동","95 - 99세","남자인구수","명","7",
"부암동","95 - 99세","여자인구수","명","15",
"부암동","100+","총인구수","명","10",
"부암동","100+","남자인구수","명","3",
"부암동","100+","여자인구수","명","7",
"평창동","계","총인구수","명","18659",
"평창동","계","남자인구수","명","8739",
"평창동","계","여자인구수","명","9920",
"평창동","0 - 4세","총인구수","명","498",
"평창동","0 - 4세","남자인구수","명","259",
"평창동","0 - 4세","여자인구수","명","239",
"평창동","5 - 9세","총인구수","명","706",
"평창동","5 - 9세","남자인구수","명","350",
"평창동","5 - 9세","여자인구수","명","356",
"평창동","10 - 14세","총인구수","명","729",
"평창동","10 - 14세","남자인구수","명","372",
"평창동","10 - 14세","여자인구수","명","357",
"평창동","15 - 19세","총인구수","명","1004",
"평창동","15 - 19세","남자인구수","명","520",
"평창동","15 - 19세","여자인구수","명","484",
"평창동","20 - 24세","총인구수","명","1332",
"평창동","20 - 24세","남자인구수","명","672",
"평창동","20 - 24세","여자인구수","명","660",
"평창동","25 - 29세","총인구수","명","1272",
"평창동","25 - 29세","남자인구수","명","677",
"평창동","25 - 29세","여자인구수","명","595",
"평창동","30 - 34세","총인구수","명","1060",
"평창동","30 - 34세","남자인구수","명","506",
"평창동","30 - 34세","여자인구수","명","554",
"평창동","35 - 39세","총인구수","명","1233",
"평창동","35 - 39세","남자인구수","명","548",
"평창동","35 - 39세","여자인구수","명","685",
"평창동","40 - 44세","총인구수","명","1174",
"평창동","40 - 44세","남자인구수","명","525",
"평창동","40 - 44세","여자인구수","명","649",
"평창동","45 - 49세","총인구수","명","1632",
"평창동","45 - 49세","남자인구수","명","725",
"평창동","45 - 49세","여자인구수","명","907",
"평창동","50 - 54세","총인구수","명","1682",
"평창동","50 - 54세","남자인구수","명","725",
"평창동","50 - 54세","여자인구수","명","957",
"평창동","55 - 59세","총인구수","명","1669",
"평창동","55 - 59세","남자인구수","명","787",
"평창동","55 - 59세","여자인구수","명","882",
"평창동","60 - 64세","총인구수","명","1418",
"평창동","60 - 64세","남자인구수","명","681",
"평창동","60 - 64세","여자인구수","명","737",
"평창동","65 - 69세","총인구수","명","917",
"평창동","65 - 69세","남자인구수","명","443",
"평창동","65 - 69세","여자인구수","명","474",
"평창동","70 - 74세","총인구수","명","776",
"평창동","70 - 74세","남자인구수","명","335",
"평창동","70 - 74세","여자인구수","명","441",
"평창동","75 - 79세","총인구수","명","655",
"평창동","75 - 79세","남자인구수","명","290",
"평창동","75 - 79세","여자인구수","명","365",
"평창동","80 - 84세","총인구수","명","458",
"평창동","80 - 84세","남자인구수","명","192",
"평창동","80 - 84세","여자인구수","명","266",
"평창동","85 - 89세","총인구수","명","268",
"평창동","85 - 89세","남자인구수","명","84",
"평창동","85 - 89세","여자인구수","명","184",
"평창동","90 - 94세","총인구수","명","113",
"평창동","90 - 94세","남자인구수","명","31",
"평창동","90 - 94세","여자인구수","명","82",
"평창동","95 - 99세","총인구수","명","39",
"평창동","95 - 99세","남자인구수","명","9",
"평창동","95 - 99세","여자인구수","명","30",
"평창동","100+","총인구수","명","24",
"평창동","100+","남자인구수","명","8",
"평창동","100+","여자인구수","명","16",
"무악동","계","총인구수","명","8695",
"무악동","계","남자인구수","명","4060",
"무악동","계","여자인구수","명","4635",
"무악동","0 - 4세","총인구수","명","298",
"무악동","0 - 4세","남자인구수","명","140",
"무악동","0 - 4세","여자인구수","명","158",
"무악동","5 - 9세","총인구수","명","450",
"무악동","5 - 9세","남자인구수","명","200",
"무악동","5 - 9세","여자인구수","명","250",
"무악동","10 - 14세","총인구수","명","498",
"무악동","10 - 14세","남자인구수","명","234",
"무악동","10 - 14세","여자인구수","명","264",
"무악동","15 - 19세","총인구수","명","533",
"무악동","15 - 19세","남자인구수","명","257",
"무악동","15 - 19세","여자인구수","명","276",
"무악동","20 - 24세","총인구수","명","506",
"무악동","20 - 24세","남자인구수","명","233",
"무악동","20 - 24세","여자인구수","명","273",
"무악동","25 - 29세","총인구수","명","470",
"무악동","25 - 29세","남자인구수","명","212",
"무악동","25 - 29세","여자인구수","명","258",
"무악동","30 - 34세","총인구수","명","407",
"무악동","30 - 34세","남자인구수","명","179",
"무악동","30 - 34세","여자인구수","명","228",
"무악동","35 - 39세","총인구수","명","566",
"무악동","35 - 39세","남자인구수","명","262",
"무악동","35 - 39세","여자인구수","명","304",
"무악동","40 - 44세","총인구수","명","686",
"무악동","40 - 44세","남자인구수","명","316",
"무악동","40 - 44세","여자인구수","명","370",
"무악동","45 - 49세","총인구수","명","916",
"무악동","45 - 49세","남자인구수","명","451",
"무악동","45 - 49세","여자인구수","명","465",
"무악동","50 - 54세","총인구수","명","701",
"무악동","50 - 54세","남자인구수","명","385",
"무악동","50 - 54세","여자인구수","명","316",
"무악동","55 - 59세","총인구수","명","689",
"무악동","55 - 59세","남자인구수","명","336",
"무악동","55 - 59세","여자인구수","명","353",
"무악동","60 - 64세","총인구수","명","562",
"무악동","60 - 64세","남자인구수","명","258",
"무악동","60 - 64세","여자인구수","명","304",
"무악동","65 - 69세","총인구수","명","418",
"무악동","65 - 69세","남자인구수","명","191",
"무악동","65 - 69세","여자인구수","명","227",
"무악동","70 - 74세","총인구수","명","338",
"무악동","70 - 74세","남자인구수","명","143",
"무악동","70 - 74세","여자인구수","명","195",
"무악동","75 - 79세","총인구수","명","303",
"무악동","75 - 79세","남자인구수","명","112",
"무악동","75 - 79세","여자인구수","명","191",
"무악동","80 - 84세","총인구수","명","211",
"무악동","80 - 84세","남자인구수","명","91",
"무악동","80 - 84세","여자인구수","명","120",
"무악동","85 - 89세","총인구수","명","78",
"무악동","85 - 89세","남자인구수","명","31",
"무악동","85 - 89세","여자인구수","명","47",
"무악동","90 - 94세","총인구수","명","38",
"무악동","90 - 94세","남자인구수","명","14",
"무악동","90 - 94세","여자인구수","명","24",
"무악동","95 - 99세","총인구수","명","12",
"무악동","95 - 99세","남자인구수","명","5",
"무악동","95 - 99세","여자인구수","명","7",
"무악동","100+","총인구수","명","15",
"무악동","100+","남자인구수","명","10",
"무악동","100+","여자인구수","명","5",
"교남동","계","총인구수","명","10562",
"교남동","계","남자인구수","명","4915",
"교남동","계","여자인구수","명","5647",
"교남동","0 - 4세","총인구수","명","469",
"교남동","0 - 4세","남자인구수","명","236",
"교남동","0 - 4세","여자인구수","명","233",
"교남동","5 - 9세","총인구수","명","441",
"교남동","5 - 9세","남자인구수","명","231",
"교남동","5 - 9세","여자인구수","명","210",
"교남동","10 - 14세","총인구수","명","416",
"교남동","10 - 14세","남자인구수","명","216",
"교남동","10 - 14세","여자인구수","명","200",
"교남동","15 - 19세","총인구수","명","442",
"교남동","15 - 19세","남자인구수","명","203",
"교남동","15 - 19세","여자인구수","명","239",
"교남동","20 - 24세","총인구수","명","585",
"교남동","20 - 24세","남자인구수","명","282",
"교남동","20 - 24세","여자인구수","명","303",
"교남동","25 - 29세","총인구수","명","726",
"교남동","25 - 29세","남자인구수","명","324",
"교남동","25 - 29세","여자인구수","명","402",
"교남동","30 - 34세","총인구수","명","836",
"교남동","30 - 34세","남자인구수","명","375",
"교남동","30 - 34세","여자인구수","명","461",
"교남동","35 - 39세","총인구수","명","958",
"교남동","35 - 39세","남자인구수","명","454",
"교남동","35 - 39세","여자인구수","명","504",
"교남동","40 - 44세","총인구수","명","876",
"교남동","40 - 44세","남자인구수","명","412",
"교남동","40 - 44세","여자인구수","명","464",
"교남동","45 - 49세","총인구수","명","1018",
"교남동","45 - 49세","남자인구수","명","490",
"교남동","45 - 49세","여자인구수","명","528",
"교남동","50 - 54세","총인구수","명","813",
"교남동","50 - 54세","남자인구수","명","389",
"교남동","50 - 54세","여자인구수","명","424",
"교남동","55 - 59세","총인구수","명","761",
"교남동","55 - 59세","남자인구수","명","368",
"교남동","55 - 59세","여자인구수","명","393",
"교남동","60 - 64세","총인구수","명","664",
"교남동","60 - 64세","남자인구수","명","294",
"교남동","60 - 64세","여자인구수","명","370",
"교남동","65 - 69세","총인구수","명","470",
"교남동","65 - 69세","남자인구수","명","205",
"교남동","65 - 69세","여자인구수","명","265",
"교남동","70 - 74세","총인구수","명","401",
"교남동","70 - 74세","남자인구수","명","154",
"교남동","70 - 74세","여자인구수","명","247",
"교남동","75 - 79세","총인구수","명","322",
"교남동","75 - 79세","남자인구수","명","136",
"교남동","75 - 79세","여자인구수","명","186",
"교남동","80 - 84세","총인구수","명","219",
"교남동","80 - 84세","남자인구수","명","94",
"교남동","80 - 84세","여자인구수","명","125",
"교남동","85 - 89세","총인구수","명","88",
"교남동","85 - 89세","남자인구수","명","33",
"교남동","85 - 89세","여자인구수","명","55",
"교남동","90 - 94세","총인구수","명","30",
"교남동","90 - 94세","남자인구수","명","12",
"교남동","90 - 94세","여자인구수","명","18",
"교남동","95 - 99세","총인구수","명","12",
"교남동","95 - 99세","남자인구수","명","2",
"교남동","95 - 99세","여자인구수","명","10",
"교남동","100+","총인구수","명","15",
"교남동","100+","남자인구수","명","5",
"교남동","100+","여자인구수","명","10",
"가회동","계","총인구수","명","4383",
"가회동","계","남자인구수","명","2026",
"가회동","계","여자인구수","명","2357",
"가회동","0 - 4세","총인구수","명","80",
"가회동","0 - 4세","남자인구수","명","46",
"가회동","0 - 4세","여자인구수","명","34",
"가회동","5 - 9세","총인구수","명","137",
"가회동","5 - 9세","남자인구수","명","60",
"가회동","5 - 9세","여자인구수","명","77",
