행정구역(동읍면)별,5세별,2019. 12,2019. 12,2019. 12
행정구역(동읍면)별,5세별,총인구수 (명),남자인구수 (명),여자인구수 (명)
　　　양천구,75 - 79세,"11,161","5,045","6,116"
　　　양천구,80 - 84세,"6,839","2,535","4,304"
　　　양천구,85 - 89세,"3,375",972,"2,403"
　　　양천구,90 - 94세,"1,240",311,929
　　　양천구,95 - 99세,341,81,260
　　　양천구,100+,170,41,129
　　　강서구,계,"591,796","286,563","305,233"
　　　강서구,0 - 4세,"20,648","10,611","10,037"
　　　강서구,5 - 9세,"23,320","11,866","11,454"
　　　강서구,10 - 14세,"21,616","11,073","10,543"
　　　강서구,15 - 19세,"25,826","13,145","12,681"
　　　강서구,20 - 24세,"35,481","17,023","18,458"
　　　강서구,25 - 29세,"51,937","24,199","27,738"
　　　강서구,30 - 34세,"49,954","24,909","25,045"
　　　강서구,35 - 39세,"53,124","27,292","25,832"
　　　강서구,40 - 44세,"45,481","22,893","22,588"
　　　강서구,45 - 49세,"47,795","23,945","23,850"
　　　강서구,50 - 54세,"43,289","20,809","22,480"
　　　강서구,55 - 59세,"45,778","21,529","24,249"
　　　강서구,60 - 64세,"43,708","20,255","23,453"
　　　강서구,65 - 69세,"29,872","14,011","15,861"
　　　강서구,70 - 74세,"22,298","10,668","11,630"
　　　강서구,75 - 79세,"15,252","6,908","8,344"
　　　강서구,80 - 84세,"9,314","3,455","5,859"
　　　강서구,85 - 89세,"4,582","1,365","3,217"
　　　강서구,90 - 94세,"1,832",418,"1,414"
　　　강서구,95 - 99세,471,125,346
　　　강서구,100+,218,64,154
　　　구로구,계,"406,664","200,987","205,677"
　　　구로구,0 - 4세,"14,397","7,391","7,006"
　　　구로구,5 - 9세,"16,104","8,172","7,932"
　　　구로구,10 - 14세,"14,676","7,536","7,140"
　　　구로구,15 - 19세,"16,903","8,770","8,133"
　　　구로구,20 - 24세,"24,141","11,843","12,298"
　　　구로구,25 - 29세,"31,511","15,511","16,000"
　　　구로구,30 - 34세,"30,262","15,228","15,034"
　　　구로구,35 - 39세,"34,392","17,671","16,721"
　　　구로구,40 - 44세,"31,016","16,000","15,016"
　　　구로구,45 - 49세,"33,431","17,156","16,275"
　　　구로구,50 - 54세,"31,413","15,539","15,874"
　　　구로구,55 - 59세,"32,580","15,910","16,670"
　　　구로구,60 - 64세,"30,906","14,641","16,265"
　　　구로구,65 - 69세,"22,521","10,605","11,916"
　　　구로구,70 - 74세,"17,652","8,565","9,087"
　　　구로구,75 - 79세,"12,721","5,924","6,797"
　　　구로구,80 - 84세,"7,388","3,120","4,268"
　　　구로구,85 - 89세,"3,107","1,033","2,074"
